"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1407","Navigation from login page to registration page","LMS system","Thu Dec 11 15:59:31 UTC 2025","passed","Thu Dec 11 15:59:32 UTC 2025","Authorization","Authentication","",""
"","2510","Edit course","LMS system","Thu Dec 11 15:59:36 UTC 2025","passed","Thu Dec 11 15:59:38 UTC 2025","Courses","Courses","",""
"","1947","Check displaying of empty courses list","LMS system","Thu Dec 11 15:59:33 UTC 2025","passed","Thu Dec 11 15:59:35 UTC 2025","Courses","Courses","",""
"","1829","Check displaying of dashboard page","LMS system","Thu Dec 11 15:59:36 UTC 2025","passed","Thu Dec 11 15:59:37 UTC 2025","Dashboard","Dashboard","",""
"","1556","User login with wrong email or password","LMS system","Thu Dec 11 15:59:28 UTC 2025","passed","Thu Dec 11 15:59:29 UTC 2025","Authorization","Authentication","",""
"","2907","User login with correct email and password","LMS system","Thu Dec 11 15:59:28 UTC 2025","passed","Thu Dec 11 15:59:31 UTC 2025","Authorization","Authentication","",""
"","1838","Registration with correct email, username and password","LMS system","Thu Dec 11 15:59:30 UTC 2025","passed","Thu Dec 11 15:59:32 UTC 2025","Registration","Authentication","",""
"","1708","User login with wrong email or password","LMS system","Thu Dec 11 15:59:26 UTC 2025","passed","Thu Dec 11 15:59:27 UTC 2025","Authorization","Authentication","",""
"","1306","Create course","LMS system","Thu Dec 11 15:59:34 UTC 2025","passed","Thu Dec 11 15:59:35 UTC 2025","Courses","Courses","",""
"","1726","User login with wrong email or password","LMS system","Thu Dec 11 15:59:26 UTC 2025","passed","Thu Dec 11 15:59:27 UTC 2025","Authorization","Authentication","",""
